epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,10869.5,1.1981,0.7179,0.97008,0.7646,0.75559,0.78798,0.55653,1.02953,0.63794,0.90156,0.00426369,0.00426369,0.00426369
121,10957.2,1.24881,0.7673,0.97545,0.80073,0.806,0.79362,0.55545,1.10687,0.64022,0.91937,0.0042575,0.0042575,0.0042575
122,11047.1,1.2064,0.7718,1.00938,0.82999,0.75484,0.79588,0.53984,1.14889,0.70587,0.93617,0.00425131,0.00425131,0.00425131
123,11137.8,1.21708,0.72055,0.98819,0.80855,0.76971,0.80866,0.56254,1.07034,0.65885,0.9101,0.00424513,0.00424513,0.00424513
124,11226.2,1.17495,0.68654,0.96655,0.77825,0.73952,0.77802,0.55172,1.08349,0.65522,0.91378,0.00423894,0.00423894,0.00423894
125,11317.3,1.22119,0.7624,0.98309,0.74125,0.72563,0.76184,0.5358,1.18417,0.71975,0.93679,0.00423275,0.00423275,0.00423275
126,11405.9,1.2073,0.68372,0.98059,0.7899,0.78526,0.80835,0.56374,1.13326,0.64778,0.92382,0.00422656,0.00422656,0.00422656
127,11494.5,1.15759,0.66422,0.94754,0.85917,0.79373,0.82019,0.56714,1.11561,0.61549,0.92303,0.00422038,0.00422038,0.00422038
128,11584.1,1.17275,0.74847,0.97897,0.80492,0.7763,0.80946,0.55788,1.16556,0.67603,0.93419,0.00421419,0.00421419,0.00421419
129,11672.5,1.24817,0.7459,0.99469,0.83819,0.77579,0.81455,0.55928,1.13623,0.6813,0.92355,0.004208,0.004208,0.004208
130,11762.9,1.22748,0.70292,0.98287,0.82982,0.72557,0.79054,0.54338,1.09951,0.6308,0.9119,0.00420181,0.00420181,0.00420181
131,11853.7,1.20458,0.67839,0.97164,0.82682,0.79481,0.79739,0.55654,1.12331,0.65012,0.91612,0.00419563,0.00419563,0.00419563
132,11942.8,1.16805,0.68738,0.95985,0.79685,0.82819,0.79809,0.5606,1.0936,0.63766,0.9115,0.00418944,0.00418944,0.00418944
133,12033.4,1.24603,0.81132,1.06298,0.78761,0.79944,0.78845,0.55952,1.07972,0.61673,0.9066,0.00418325,0.00418325,0.00418325
134,12123.2,1.22867,0.70553,0.95984,0.79346,0.80477,0.79848,0.56836,1.11281,0.6854,0.91472,0.00417706,0.00417706,0.00417706
135,12210.8,1.21123,0.70304,0.9851,0.84251,0.79568,0.82023,0.56859,1.08923,0.62833,0.91147,0.00417088,0.00417088,0.00417088
136,12302,1.21489,0.67485,0.95252,0.76555,0.78159,0.79725,0.55392,1.13877,0.63562,0.92524,0.00416469,0.00416469,0.00416469
137,12393.8,1.21755,0.6733,0.96207,0.70483,0.78275,0.79683,0.56089,1.09588,0.63507,0.91234,0.0041585,0.0041585,0.0041585
138,12483.5,1.20676,0.70784,0.9783,0.79609,0.75799,0.80246,0.58176,1.11613,0.64189,0.92704,0.00415231,0.00415231,0.00415231
139,12570.6,1.19368,0.68703,0.99204,0.79503,0.79002,0.81032,0.59382,1.08314,0.60549,0.92647,0.00414612,0.00414612,0.00414612
140,12661.3,1.20858,0.76398,0.96695,0.81209,0.77156,0.7841,0.56096,1.15116,0.63687,0.93866,0.00413994,0.00413994,0.00413994
141,12757.3,1.22196,0.74745,0.98179,0.82791,0.79195,0.79356,0.5568,1.13079,0.61544,0.92435,0.00413375,0.00413375,0.00413375
142,12848.6,1.23374,0.6727,0.9848,0.78122,0.77553,0.77685,0.54456,1.06469,0.61797,0.90541,0.00412756,0.00412756,0.00412756
143,12936.5,1.26338,0.77223,1.05032,0.85844,0.71063,0.78014,0.55212,1.06252,0.61881,0.90733,0.00412138,0.00412138,0.00412138
144,13027.9,1.21512,0.67838,0.9943,0.86077,0.78553,0.82192,0.56712,1.14706,0.65546,0.92437,0.00411519,0.00411519,0.00411519
145,13118.3,1.09812,0.97078,0.89883,0.7083,0.8129,0.81201,0.57271,1.06462,0.667,0.90141,0.004109,0.004109,0.004109
146,13208.2,1.13362,0.72247,0.96945,0.79448,0.79462,0.8238,0.59028,1.10223,0.63779,0.9178,0.00410281,0.00410281,0.00410281
147,13295.8,1.17547,0.70112,0.97544,0.77053,0.79306,0.80814,0.58795,1.1316,0.65907,0.92275,0.00409662,0.00409662,0.00409662
148,13387.9,1.21583,0.66913,0.96624,0.778,0.77433,0.80667,0.5768,1.14982,0.67794,0.91788,0.00409044,0.00409044,0.00409044
149,13478.1,1.15525,0.74833,0.96414,0.80701,0.7735,0.80017,0.56257,1.06475,0.65172,0.89969,0.00408425,0.00408425,0.00408425
150,13567.8,1.16018,0.69538,0.97501,0.81841,0.68089,0.75541,0.53444,1.1553,0.68722,0.92983,0.00407806,0.00407806,0.00407806
151,13658.1,1.16183,0.7255,0.9822,0.74865,0.8042,0.77531,0.55188,1.12147,0.66192,0.92701,0.00407187,0.00407187,0.00407187
152,13747.8,1.19086,0.6679,0.95967,0.79316,0.77038,0.78128,0.56752,1.08836,0.63154,0.90218,0.00406569,0.00406569,0.00406569
153,13837.4,1.1652,0.65786,0.95803,0.79343,0.72327,0.7668,0.56235,1.07624,0.64951,0.89885,0.0040595,0.0040595,0.0040595
154,13925.4,1.15421,0.65613,0.96933,0.8102,0.73483,0.79941,0.58147,1.05898,0.60722,0.90003,0.00405331,0.00405331,0.00405331
155,14016.2,1.18422,0.66587,0.94347,0.8443,0.77375,0.80429,0.57331,1.03801,0.60639,0.89438,0.00404712,0.00404712,0.00404712
